strain,date,epi_03,country,epi_00,epi_02,surface_residues_pref,region,epi_01,epi_05,surface_residues_postf,epi_04,clade_membership,epi_all,author,accession
93484,1/24/2024,,Mexico,,1,1,North America,,,1,,A.D.1.5,1,"Garza-Cabello,J.C.,Ruiz-Higareda,A.F.,Galan-Huerta,K.A.,Bocanegra-Ibarias,P.,Camacho-Ortiz,A.,Rivas-Estilla,A.M.",PQ599899
93557,1/30/2024,,Mexico,,1,1,North America,,,1,,A.D.1,1,"Garza-Cabello,J.C.,Ruiz-Higareda,A.F.,Galan-Huerta,K.A.,Bocanegra-Ibarias,P.,Camacho-Ortiz,A.,Rivas-Estilla,A.M.",PQ599900
270101083,5/10/2018,,South Africa,,1,1,Africa,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376276
270102082,7/3/2019,,South Africa,,1,1,Africa,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376488
270102097,8/6/2019,,South Africa,,1,2,Africa,,,2,,A.D.4.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377588
270102098,8/15/2019,,South Africa,,1,2,Africa,,,2,,A.D.4.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377523
270102099,8/21/2019,,South Africa,,1,2,Africa,,,2,,A.D.4.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377566
270103001,3/20/2020,,South Africa,,1,2,Africa,,,2,,A.D.4.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377563
270103003,4/3/2020,,South Africa,,1,3,Africa,,,3,,A.D.4.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377512
270103004,3/18/2020,,South Africa,,1,3,Africa,,,3,,A.D.4.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377529
270103007,3/17/2020,,South Africa,,1,1,Africa,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377561
270103009,1/20/2020,,South Africa,,1,1,Africa,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376383
270103011,3/16/2020,,South Africa,,1,1,Africa,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376628
310101043,12/29/2017,,Netherlands,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376476
310103002,1/29/2020,,Netherlands,,1,1,Europe,,,1,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376471
310103009,1/7/2020,,Netherlands,,1,1,Europe,,,1,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376538
310103012,12/30/2019,,Netherlands,,1,3,Europe,,,3,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376784
310103013,12/27/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376753
310103015,12/24/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376420
310103018,12/24/2019,,Netherlands,,1,2,Europe,,,2,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376421
310103019,12/24/2019,,Netherlands,,1,2,Europe,,,2,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376724
310103022,12/23/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376413
310103023,12/20/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376391
