id	seq_len	no_parts
MK388093.1	162482	1
MK388094.1	162400	1
KY548811.1	161706	1
KY548812.1	161706	1
KY548813.1	161705	1
KY548800.1	161660	1
KY548804.1	161608	1
KY548803.1	161607	1
KY548801.1	161606	1
KY548802.1	161605	1
KY548805.1	161605	1
KY548806.1	161605	1
KY548808.1	161605	1
KY548809.1	161605	1
KY548810.1	161605	1
KY548807.1	161602	1
